"Week","Team 1 ID","Team 1 Name","Team 2 ID","Team 2 Name","Complete","Playoff","Consolation","Team 1 Points","Team 2 Points","Team 1 R","Team 2 R","Team 1 HR","Team 2 HR","Team 1 RBI","Team 2 RBI","Team 1 SB","Team 2 SB","Team 1 AVG","Team 2 AVG","Team 1 W","Team 2 W","Team 1 SV","Team 2 SV","Team 1 K","Team 2 K","Team 1 ERA","Team 2 ERA","Team 1 WHIP","Team 2 WHIP"
"2","431.l.148152.t.1","Punxsutawney PED-O-BEARS","431.l.148152.t.2","SIXTH PLACE NONE THE RICHER","True","False","False","7","2","33","33","12","16","41","40","5","2","0.263","0.249","5","4","5","4","43","64","1.06","3.42","0.92","1.24"
"2","431.l.148152.t.3","Dong Bongs","431.l.148152.t.7","Mariachi Sluggers","True","False","False","3","7","34","37","9","10","33","38","1","9","0.229","0.252","4","2","0","1","67","43","5.20","3.60","1.30","1.33"
"2","431.l.148152.t.4","PHILadelphia PHILies","431.l.148152.t.5","South Bay Soyboys","True","False","False","6","3","46","32","10","6","36","26","7","2","0.313","0.243","4","3","3","3","39","57","3.29","3.06","1.15","1.11"
"2","431.l.148152.t.6","Wish ppl still cared ab BB","431.l.148152.t.9","Tainted Love","True","False","False","6","3","41","34","10","3","36","23","1","12","0.235","0.270","3","2","2","2","37","42","2.27","4.85","0.95","1.36"
"2","431.l.148152.t.8","Halifax Chug-a-Luggers","431.l.148152.t.10","Tacoma Steller's Jays","True","False","False","5","4","29","34","6","12","34","37","5","5","0.287","0.261","2","0","0","4","48","30","5.52","6.08","1.31","1.69"
"3","431.l.148152.t.1","Punxsutawney PED-O-BEARS","431.l.148152.t.8","Halifax Chug-a-Luggers","True","False","False","8","2","28","21","9","4","36","21","4","5","0.243","0.203","6","4","5","2","42","40","2.27","1.84","0.86","0.98"
"3","431.l.148152.t.2","SIXTH PLACE NONE THE RICHER","431.l.148152.t.9","Tainted Love","True","False","False","7","3","33","26","9","4","26","31","8","7","0.266","0.232","0","6","4","0","44","67","2.60","2.78","1.09","1.26"
"3","431.l.148152.t.3","Dong Bongs","431.l.148152.t.10","Tacoma Steller's Jays","True","False","False","4","6","32","39","3","11","23","41","10","11","0.215","0.309","5","3","4","5","46","42","0.87","4.17","0.77","1.32"
"3","431.l.148152.t.4","PHILadelphia PHILies","431.l.148152.t.6","Wish ppl still cared ab BB","True","False","False","9","1","42","39","7","5","29","23","6","4","0.271","0.297","4","2","5","3","69","46","3.31","4.19","1.21","1.29"
"3","431.l.148152.t.5","South Bay Soyboys","431.l.148152.t.7","Mariachi Sluggers","True","False","False","4","5","25","30","4","9","21","36","1","9","0.222","0.278","2","2","2","0","42","22","2.17","6.45","1.10","1.75"
"4","431.l.148152.t.1","Punxsutawney PED-O-BEARS","431.l.148152.t.9","Tainted Love","True","False","False","8","1","29","28","9","9","27","21","9","5","0.268","0.206","3","4","10","0","66","58","3.21","3.81","1.12","1.21"
"4","431.l.148152.t.2","SIXTH PLACE NONE THE RICHER","431.l.148152.t.4","PHILadelphia PHILies","True","False","False","1","9","33","39","7","8","28","39","5","11","0.281","0.336","3","5","3","6","45","61","4.37","4.85","1.31","1.23"
"4","431.l.148152.t.3","Dong Bongs","431.l.148152.t.8","Halifax Chug-a-Luggers","True","False","False","7","2","33","33","5","6","24","26","4","3","0.245","0.217","5","2","6","1","59","52","2.37","3.51","0.99","1.37"
"4","431.l.148152.t.5","South Bay Soyboys","431.l.148152.t.10","Tacoma Steller's Jays","True","False","False","1","8","13","27","4","8","27","27","2","10","0.235","0.211","2","3","2","4","34","55","3.52","1.91","1.12","0.94"
"4","431.l.148152.t.6","Wish ppl still cared ab BB","431.l.148152.t.7","Mariachi Sluggers","True","False","False","5","3","34","34","13","10","29","31","7","7","0.239","0.229","4","3","7","0","44","27","3.44","2.70","1.04","0.90"
