"ID","Last Name","First Name","Team ID","Team Name","Status","Status Details","Position","Eligible Positions","Image"
"431.p.11349","Alvarez","Francisco","431.l.148152.t.1","Punxsutawney PED-O-BEARS","Available","","C","C,Util","https://s.yimg.com/iu/api/res/1.2/Yhulsjm4l_b5nyIm_M2g6w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/04032024/11349.png"
"431.p.8967","Goldschmidt","Paul","431.l.148152.t.1","Punxsutawney PED-O-BEARS","Available","","1B","1B,Util","https://s.yimg.com/iu/api/res/1.2/vrMsScL1s3FeQw0wHcQn3A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/03212023/8967.png"
"431.p.11221","Arraez","Luis","431.l.148152.t.1","Punxsutawney PED-O-BEARS","Available","","2B","1B,2B,Util","https://s.yimg.com/iu/api/res/1.2/_2x96waun4aoRMUXsNzv_A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/05082024/11221.png"
"431.p.9507","Ramírez","José","431.l.148152.t.1","Punxsutawney PED-O-BEARS","Available","","3B","3B,Util","https://s.yimg.com/iu/api/res/1.2/FCJv2qDHmM8ebJm0BMseuQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/04112024/9507.png"
"431.p.11731","Henderson","Gunnar","431.l.148152.t.1","Punxsutawney PED-O-BEARS","Available","","SS","3B,SS,Util","https://s.yimg.com/iu/api/res/1.2/K2sdvX4VyrU6eLIT9wnsZA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/04022024/11731.png"
"431.p.10366","Hernández","Teoscar","431.l.148152.t.1","Punxsutawney PED-O-BEARS","Available","","OF","OF,Util","https://s.yimg.com/iu/api/res/1.2/TlMwIBCIg8.MOmy2QNmNEA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/03082024/10366.png"
"431.p.10215","O'Neill","Tyler","431.l.148152.t.1","Punxsutawney PED-O-BEARS","Available","","OF","OF,Util","https://s.yimg.com/iu/api/res/1.2/nBJHciuL_wdQrhd9CMIfPQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/04032024/10215.png"
"431.p.9414","Pederson","Joc","431.l.148152.t.1","Punxsutawney PED-O-BEARS","Available","","OF","OF,Util","https://s.yimg.com/iu/api/res/1.2/Eaf4HficT7j9u5zODYpEjw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/02282024/9414.png"
"431.p.10572","Naylor","Josh","431.l.148152.t.1","Punxsutawney PED-O-BEARS","Available","","Util","1B,Util","https://s.yimg.com/iu/api/res/1.2/K6YTzQq5MOYwEhmDcDb2zw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/04112024/10572.png"
"431.p.11878","Acuña","Luisangel","431.l.148152.t.1","Punxsutawney PED-O-BEARS","Available","","Util","2B,SS,Util","https://s.yimg.com/iu/api/res/1.2/h.CsYIr3pvm20hjmpQDyaw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/mlb_cutout/players_l/03082024/11878.png"
