"ID","Name","Commissioner","Manager","Rank","Playoff Seed","Wins","Losses","Ties","Image"
"431.l.148152.t.1","Punxsutawney PED-O-BEARS","True","Drew","5","5","107","93","10","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/5cd9cd29265c2270cdc457687cdbd78f0ba48627740af440ddb83892a7521e52.png"
"431.l.148152.t.2","SIXTH PLACE NONE THE RICHER","False","Cameron","3","3","120","81","9","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/8a5b8817276a05af03e5f8aa7001089eb6908ccaa969c45da0274de6a8bb44c1.jpg"
"431.l.148152.t.3","Dong Bongs","False","Micah","6","6","103","98","9","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/12d8e22eadc14382c537fdaec4f6eeeca2fdc7be95665ef222b45613e34b7c16.png"
"431.l.148152.t.4","PHILadelphia PHILies","False","Evan","1","1","126","71","13","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/23b569acbe45d20ee9a503820f2e2a477a4352038d5308cdbac76f59bc49385f.jpg"
"431.l.148152.t.5","South Bay Soyboys","False","Hammond","9","9","73","121","16","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/eef6ed292fe6f241c76f75e06eba1c68c502d765ab59c1f0d1df4bfe2069e09c.jpg"
"431.l.148152.t.6","Wish ppl still cared ab BB","False","Phillip","2","2","121","76","13","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/1e4c8b551ee9f1f10dd1aeb8ee44a019943f1550609da793f11993413a5a3bd1.png"
"431.l.148152.t.7","Mariachi Sluggers","False","Eduardo","7","7","81","110","19","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/704856274c4e63200ac94f214abb928640f3a3abc7d06870ebfa9afa042930b5.jpg"
"431.l.148152.t.8","Halifax Chug-a-Luggers","False","Ben","10","10","66","134","10","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/581eef1964f5eb6257ae066e0e30b69c8ee9c00e134181064cbd7199c14ce1f1.jpg"
"431.l.148152.t.9","Tainted Love","False","James","8","8","74","119","17","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/5447e2cdc59528764a8e5033fa8327745fc9df86b6dcf78bac7ca061c0a65deb.png"
"431.l.148152.t.10","Tacoma Steller's Jays","False","Nick","4","4","114","82","14","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/a4d266a58036f9fca6837c7348e4c530be284cabdf97ee77441dfdad4aae44ea.png"
